epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.39934534;1.9233752824670944;0.001;0.45453128;1.4467896449107307
1;0.623451;1.0434252632703909;0.001;0.77913713;0.5659069993983071
2;0.7941314;0.568935429085519;0.001;0.8558664;0.4047803664294778
3;0.8661445;0.3769689187815124;0.001;0.8989844;0.2754858643708314
4;0.90507364;0.27061845669825557;0.001;0.92633575;0.2050918074297488
5;0.9395604;0.18438860756968514;0.001;0.9503364;0.14464411526773654
6;0.96142155;0.11441328461890135;0.001;0.9603626;0.12197597762334408
7;0.9766191;0.0725450232365448;0.001;0.9697135;0.09726580035487857
8;0.9809446;0.05402119323238469;0.001;0.9725447;0.09704528679900108
9;0.98784196;0.033782201305010875;0.001;0.9747006;0.0988388698957484
10;0.9918167;0.029504130629925827;0.001;0.97662276;0.09843860351762826
11;0.99310267;0.023389859866026003;0.001;0.98098654;0.0733442040071131
12;0.99368715;0.022429943361696528;0.001;0.97236294;0.10561359498548524
13;0.9942717;0.019361358764804576;0.001;0.98106444;0.07828016319709392
14;0.9946224;0.020552335228992642;0.001;0.980519;0.08166103989393693
15;0.9980126;0.006434788075592547;0.001;0.9819476;0.08768069886313454
16;0.9980126;0.006725206966704615;0.001;0.97732407;0.08978722910909963
17;0.99567455;0.011458381398578573;0.001;0.97947997;0.0992425700337122
18;0.9971943;0.010206126085079044;0.001;0.9810125;0.09618379868197935
19;0.99812955;0.007440594268184497;0.001;0.9787527;0.08638862476455622
20;0.9968436;0.010743554214898367;0.001;0.9818437;0.08277903462335916
21;0.9983633;0.006633678531966213;0.001;0.9790384;0.08319361605507426
22;0.99777883;0.007500769309603725;0.001;0.98303854;0.0842031863038331
23;0.9978957;0.0070746759138261015;0.001;0.9836879;0.0887345524539664
24;0.99614215;0.013919724912206501;0.001;0.9810904;0.07852921317683687
25;0.9980126;0.006027659614993312;0.001;0.98602563;0.07362806635916692
26;0.9983633;0.006215202561893751;0.001;0.9844152;0.0841533268599802
27;0.9992986;0.002045131354338625;0.001;0.98599964;0.0748148760991177
28;0.99941546;0.002196790058551984;0.001;0.9833762;0.09820446599914576
29;0.99848026;0.004961394123288259;0.001;0.9820255;0.0910423441383324
30;0.998831;0.0033370769634513634;0.001;0.9826229;0.07257072113653867
31;0.99941546;0.002122012307739996;0.001;0.9842334;0.09089891278618958
32;0.9992986;0.002599856828718884;0.001;0.98386973;0.09257113876124537
33;0.99894786;0.0030732407697984026;0.001;0.98586977;0.08122636341060731
34;0.9996493;0.00220675046628318;0.001;0.9843892;0.09617212774056913
35;0.9995324;0.0017149971814798559;0.001;0.98524636;0.08257816695237136
36;0.9992986;0.00237416890816733;0.001;0.98093456;0.10524206731951366
37;0.9978957;0.007912941411053094;0.001;0.9798176;0.09341091632532601
38;0.9967267;0.008852274190041769;0.001;0.9819735;0.09858360348802074
39;0.99859715;0.005125799004022474;0.001;0.98025924;0.09347622074863564
