epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.130859375;3.0066481232643127;0.001;0.14319783449172974;2.758081471668026
1;0.13671875;2.729233682155609;0.001;0.12346883118152618;2.6044583515746162
2;0.1513671875;2.571872651576996;0.001;0.2395664006471634;2.399216241681479
3;0.22265625;2.491001307964325;0.001;0.2395664006471634;2.458310528240876
4;0.21484375;2.4622772336006165;0.001;0.2395664006471634;2.35712864402833
5;0.2177734375;2.411536931991577;0.001;0.2395664006471634;2.3407127358144537
6;0.232421875;2.37724906206131;0.001;0.2395664006471634;2.278435749322741
7;0.2744140625;2.2795137763023376;0.001;0.3732249438762665;2.051175687138627
8;0.3740234375;2.0274875164031982;0.001;0.47533875703811646;1.7003301379609561
9;0.4443359375;1.7752852737903595;0.001;0.5274796485900879;1.4794042143395276
10;0.4794921875;1.5892521142959595;0.001;0.605745255947113;1.2502524621053763
11;0.5498046875;1.3943725526332855;0.001;0.6514905095100403;1.133450512588832
12;0.6171875;1.2012446224689484;0.001;0.6943089365959167;1.0046833823625312
13;0.669921875;1.0709098875522614;0.001;0.7280216813087463;0.8391023440606549
14;0.7109375;0.9436912387609482;0.001;0.7682384848594666;0.7379527433907114
15;0.7216796875;0.8129913061857224;0.001;0.7997831702232361;0.6576502821568228
16;0.7490234375;0.7381598353385925;0.001;0.8304607272148132;0.5579908250534761
17;0.78515625;0.6500121504068375;0.001;0.8528997302055359;0.4846341854834621
18;0.8466796875;0.5097420364618301;0.001;0.8720867037773132;0.4277356714026392
19;0.857421875;0.43442755937576294;0.001;0.8853116631507874;0.35604757098324574
20;0.890625;0.3626895472407341;0.001;0.9000542163848877;0.3348046221497259
21;0.9052734375;0.3046175315976143;0.001;0.9073171019554138;0.2957412367332272
22;0.904296875;0.27686505764722824;0.001;0.9166395664215088;0.2666021673595356
23;0.931640625;0.2356802560389042;0.001;0.9168563485145569;0.26417624043861054
24;0.93359375;0.2042454555630684;0.001;0.9260704517364502;0.2378590851341725
25;0.947265625;0.1645084097981453;0.001;0.9233604073524475;0.2342258013619317
26;0.9501953125;0.14003998413681984;0.001;0.9382113814353943;0.20981528097051916
27;0.95703125;0.11992767080664635;0.001;0.9321409463882446;0.2078571515677744
28;0.96875;0.09539825841784477;0.001;0.9375609755516052;0.20412975774241263
29;0.9736328125;0.08726750127971172;0.001;0.9324661493301392;0.20487478400956646
30;0.9755859375;0.07463866099715233;0.001;0.9391869902610779;0.219123874759771
31;0.974609375;0.08514923509210348;0.001;0.9374525547027588;0.21517150438251856
32;0.9794921875;0.06404683738946915;0.001;0.9348509311676025;0.19841744568532074
33;0.984375;0.06276363739743829;0.001;0.9403793811798096;0.1830911075988113
34;0.9853515625;0.04943380784243345;0.001;0.9434146285057068;0.18645090955867355
35;0.9892578125;0.042968453373759985;0.001;0.9459078311920166;0.1892757899733134
36;0.9853515625;0.037265599239617586;0.001;0.9473170638084412;0.189463990507171
37;0.9892578125;0.0318284728564322;0.001;0.9475338459014893;0.19928863527328988
38;0.9921875;0.03098298516124487;0.001;0.9439566135406494;0.21002030002392405
39;0.98828125;0.04177453648298979;0.001;0.9459078311920166;0.19832764361911834
40;0.994140625;0.024244097294285893;0.001;0.9479674696922302;0.1882379300904468
41;0.9873046875;0.044350956566631794;0.001;0.9474254846572876;0.19266935377808284
42;0.990234375;0.03021599305793643;0.001;0.9497019052505493;0.18215363180396074
43;0.9853515625;0.0325285317376256;0.001;0.9510027170181274;0.1680480098125189
44;0.9970703125;0.01815303205512464;0.001;0.9495934844017029;0.17751812218670762
45;0.994140625;0.02060871757566929;0.001;0.9487262964248657;0.19811879855507433
46;0.9853515625;0.0245045255869627;0.001;0.9466666579246521;0.19930758592962897
47;0.99609375;0.01668843487277627;0.001;0.940487802028656;0.22466331808426515
48;0.9931640625;0.017462195362895727;0.001;0.944932222366333;0.1989457733230539
49;0.9951171875;0.0134948855265975;0.001;0.9468834400177002;0.2080323251863805
50;0.994140625;0.021426692605018616;0.001;0.9477506875991821;0.20209805715455595
51;0.99609375;0.013574994634836912;0.001;0.946449875831604;0.2052714296699335
52;0.994140625;0.012902124843094498;0.001;0.9461246728897095;0.2171850755673437
53;0.9931640625;0.018471250776201487;0.001;0.9474254846572876;0.20526634045086578
54;0.994140625;0.029598205583170056;0.001;0.9375609755516052;0.23217861993202996
55;0.98828125;0.03570722974836826;0.001;0.9457994699478149;0.22757084862649601
56;0.9970703125;0.014627616852521896;0.001;0.9488347172737122;0.2116080529959355
57;0.994140625;0.020277027040719986;0.001;0.9451490640640259;0.2127159944007067
58;0.998046875;0.01011355547234416;0.001;0.9512194991111755;0.19760752494520126
59;0.99609375;0.011852643685415387;0.001;0.9491599202156067;0.2249458637416736
60;0.9931640625;0.017064459738321602;0.001;0.9486178755760193;0.23220025102869918
61;1.0;0.006272503058426082;0.001;0.9525203108787537;0.19299720733119266
62;0.994140625;0.015817664680071175;0.001;0.9529539346694946;0.1900510534361449
63;0.9970703125;0.00900551921222359;0.001;0.9518699049949646;0.20101183273604892
64;0.9970703125;0.010925293900072575;0.001;0.951978325843811;0.21929736811940262
65;0.9970703125;0.00993384065805003;0.001;0.950894296169281;0.20784006451343648
66;0.99609375;0.012903752503916621;0.001;0.9431978464126587;0.23857656529043272
67;0.99609375;0.015179717796854675;0.001;0.9410297870635986;0.22421349086008743
68;0.9970703125;0.00981828453950584;0.001;0.9420053958892822;0.25147194105184695
69;0.9951171875;0.013887701788917184;0.001;0.944932222366333;0.2384480041550374
70;0.994140625;0.019818261149339378;0.001;0.9459078311920166;0.2121799768397723
71;0.998046875;0.010135705408174545;0.001;0.9446070194244385;0.21065165025431937
72;0.998046875;0.008991607232019305;0.001;0.9450406432151794;0.2301907964482863
73;0.9970703125;0.013819059357047081;0.001;0.9528455138206482;0.20579345515103845
74;0.994140625;0.015768763376399875;0.001;0.9511111378669739;0.2134097910860205
75;0.998046875;0.009265245986171067;0.001;0.9499186873435974;0.22401228824201316
76;0.9990234375;0.004297029183362611;0.001;0.9510027170181274;0.22570077838855707
77;0.998046875;0.006439123768359423;0.001;0.950894296169281;0.22955621116529634
78;0.9931640625;0.016618661815300584;0.001;0.9512194991111755;0.21712524665403496
79;0.99609375;0.008747188228880987;0.001;0.9502438902854919;0.21960796379461522
80;0.998046875;0.005300486285705119;0.001;0.9455826282501221;0.23880431433680258
81;0.9951171875;0.00971785734873265;0.001;0.9463414549827576;0.2565064709651761
82;0.998046875;0.005660697177518159;0.001;0.9477506875991821;0.26286724546898993
83;0.998046875;0.005743154208175838;0.001;0.9480758905410767;0.2566177790021388
84;0.998046875;0.00441486353520304;0.001;0.945365846157074;0.2700320285962526
85;0.9970703125;0.00679852394387126;0.001;0.9457994699478149;0.29122679475523267
86;0.99609375;0.009876100011751987;0.001;0.9471002817153931;0.2820299001664004
87;0.9990234375;0.0043720096873585135;0.001;0.9443902373313904;0.29017257124623774
88;0.998046875;0.007528808477218263;0.00090000004;0.9443902373313904;0.2518991619429291
89;0.998046875;0.009857817378360778;0.00090000004;0.9427642226219177;0.2462375687690689
90;0.9970703125;0.009793211123906076;0.00090000004;0.9437398314476013;0.23446652137813206
91;0.9990234375;0.00494254007935524;0.00090000004;0.9447154402732849;0.24151009372902432
92;0.9970703125;0.0071281533455476165;0.00090000004;0.9482926726341248;0.23298929338532734
93;0.9990234375;0.004154021560680121;0.00090000004;0.9512194991111755;0.22495551459511445
94;1.0;0.0019332738302182406;0.00090000004;0.950894296169281;0.24152905218646456
95;0.998046875;0.0055654778552707285;0.00090000004;0.9503523111343384;0.2581452029830395
96;0.998046875;0.0033692602155497298;0.00090000004;0.9486178755760193;0.27192268874021724
97;0.9970703125;0.006867556308861822;0.00090000004;0.9467750787734985;0.27933414634973375
98;1.0;0.004037471750052646;0.00090000004;0.9463414549827576;0.3140332939566382
99;0.9951171875;0.0076606073416769505;0.00090000004;0.9451490640640259;0.29450727608791055
